epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,368.182,2.631,3.01477,1.45236,0.4488,0.42386,0.39822,0.13923,2.4213,2.19577,1.37792,0.0017822,0.0017822,0.0017822
90,371.814,2.66983,3.00491,1.39229,0.43973,0.18288,0.26121,0.06772,2.61833,2.70382,1.43189,0.00177973,0.00177973,0.00177973
91,375.416,2.472,3.00504,1.43742,0.2852,0.21918,0.16078,0.0476,2.595,2.95,1.42478,0.00177725,0.00177725,0.00177725
92,378.959,2.37381,3.04627,1.46461,0.5125,0.27363,0.31408,0.12715,2.41218,2.34599,1.355,0.00177477,0.00177477,0.00177477
93,382.396,2.39183,2.63638,1.38179,0.56122,0.38356,0.43125,0.19883,2.31902,2.08388,1.33274,0.0017723,0.0017723,0.0017723
94,387.198,2.48243,3.51003,1.39246,0.58512,0.41096,0.4558,0.21242,2.25905,2.14562,1.3335,0.00176983,0.00176983,0.00176983
95,392.212,2.57143,2.8123,1.44667,0.58512,0.41096,0.4558,0.21242,2.25905,2.14562,1.3335,0.00176735,0.00176735,0.00176735
96,397.213,2.50019,3.0478,1.38776,0.55265,0.39726,0.44251,0.20013,2.35305,2.08919,1.36365,0.00176487,0.00176487,0.00176487
97,400.759,2.52119,2.53506,1.35733,0.47484,0.26011,0.32291,0.1314,2.42681,2.47005,1.38086,0.0017624,0.0017624,0.0017624
98,404.396,2.43876,2.97134,1.4284,0.43737,0.23288,0.28099,0.1026,2.40982,2.54567,1.37421,0.00175993,0.00175993,0.00175993
99,408.013,2.44424,2.45341,1.31699,0.37542,0.45205,0.34663,0.12259,2.33302,2.2015,1.33582,0.00175745,0.00175745,0.00175745
100,411.563,2.50533,2.68544,1.41908,0.37542,0.45205,0.34663,0.12259,2.33302,2.2015,1.33582,0.00175497,0.00175497,0.00175497
101,415.096,2.34782,2.60745,1.36215,0.52123,0.46575,0.46063,0.1777,2.20687,2.18457,1.2868,0.0017525,0.0017525,0.0017525
102,420.186,2.26721,2.27695,1.36022,0.58098,0.43687,0.48543,0.20867,2.17506,2.02687,1.27063,0.00175003,0.00175003,0.00175003
103,423.742,2.42519,2.42554,1.36799,0.56696,0.43836,0.49062,0.21871,2.11832,1.96357,1.26183,0.00174755,0.00174755,0.00174755
104,429.046,2.26494,2.27133,1.31925,0.67327,0.42466,0.48356,0.21158,2.19675,1.91523,1.27396,0.00174508,0.00174508,0.00174508
105,432.741,2.23939,2.30385,1.38084,0.67327,0.42466,0.48356,0.21158,2.19675,1.91523,1.27396,0.0017426,0.0017426,0.0017426
106,436.552,2.43579,2.33594,1.34764,0.71692,0.43836,0.50304,0.21459,2.21082,1.82649,1.27756,0.00174013,0.00174013,0.00174013
107,440.148,2.23901,2.07192,1.21643,0.79946,0.42466,0.53895,0.24018,2.15101,1.75831,1.2582,0.00173765,0.00173765,0.00173765
108,445.239,2.26687,2.10096,1.31133,0.64633,0.52055,0.56385,0.27179,2.08255,1.71835,1.24484,0.00173518,0.00173518,0.00173518
109,450.189,2.15415,2.15293,1.28267,0.76636,0.43836,0.50096,0.22461,2.1301,1.85663,1.27563,0.0017327,0.0017327,0.0017327
110,453.921,2.36499,2.12752,1.32107,0.60715,0.46575,0.4825,0.21657,2.16704,1.79715,1.28199,0.00173023,0.00173023,0.00173023
111,457.536,2.25976,2.15337,1.30607,0.60715,0.46575,0.4825,0.21657,2.16704,1.79715,1.28199,0.00172775,0.00172775,0.00172775
112,461.107,2.16545,2.01633,1.30355,0.58652,0.49315,0.49121,0.23364,2.11197,1.75617,1.25775,0.00172527,0.00172527,0.00172527
113,464.591,2.2113,2.10832,1.28344,0.68479,0.52055,0.52737,0.26525,2.02851,1.72404,1.22339,0.0017228,0.0017228,0.0017228
114,468.175,2.1477,2.06028,1.24323,0.68142,0.53425,0.54736,0.25438,2.03755,1.70108,1.21848,0.00172033,0.00172033,0.00172033
